Key,Id,Shared Comments,English (United States)(en-US),English (United States)(en-US) Comments,Korean (South Korea)(ko-KR),Korean (South Korea)(ko-KR) Comments
ui_loading,,,"Loading...
Please wait a moment.",,"로딩 중 입니다. 
잠시만 기다려주세요.",
ui_alarm_not_ready,,,Getting ready. ,,준비 중 입니다,
ui_modal_confirm,,,Confirm,,확 인,
ui_modal_cancel,,,Cancel,,취 소,
ui_modal_yes,,,Yes,,예,
ui_modal_no,,,No,,아니오,
ui_modal_next,,,Next,,다 음,
ui_modal_previous,,,Previous,,이 전,
ui_modal_review_head,,,Thank you for using Smarcare.,,스마케어를 이용해주셔서 감사합니다.,
ui_modal_review_content,,,"Those who leave a review will receive
all paid games for 30 days
30 days.
Leave a review now?",,평가를 남겨주신 분들은 모든 유료게임을 30일동안 이용하실수있어요. 지금 남기시겠습니까?,
ui_splash_introduction_0,,,You'll find a wealth of content to help prevent dementia.,,치매 예방을 위한 다양한 콘텐츠를 만나 볼 수 있습니다.,
ui_splash_introudction_1,,,The programme was developed in collaboration with researchers from the Big Data Centre at Catholic University Hospital and a team of cognitive psychology researchers.,,가톨릭 대학병원 빅데이터 센터 연구진과 인지심리 연구팀이 협력하여 개발한 프로그램입니다. ,
ui_intro_button,,,Getting started with Sma-Care,,스마케어 시작하기,
ui_toast_exit,,,Tap once more to exit.,,한 번 더 누르시면 종료합니다.,
ui_main_menu_0,,,Assessment & Training,,검사·훈련,
ui_main_training_menu_1,,,Self-Assessment,,치매 자가 진단,
ui_main_training_menu_2,,,Dementia Prevention,,치매 예방 훈련 ,
ui_main_training_menu_3,,,My Report,,결과 보기,
ui_main_menu_1,,,Understanding Dementia,,치매 알기,
ui_main_know_dementia_menu_1,,,OX Quiz,,치매 OX퀴즈,
ui_main_know_dementia_menu_2,,,Know the types,,치매 종류 알기,
ui_main_know_dementia_menu_3,,,Know the criteria,,치매 기준 알기,
ui_main_mypage_name,,,Dear {textLabel.userName},,{textLabel.userName} 님,
ui_main_mypage_point_receive,,,Go to earn points.,,포인트 받으러 가기,
ui_main_mypage_point,,,Point,,포인트,
ui_main_mypage_notice,,,Notice,,공지사항,
ui_main_mypage_free_tier_comment,,,Play all games without limits.,,모든 게임을 제한 없이 즐기세요,
ui_main_mypage_free_tier_view,,,View pass,,이용권 보러가기.,
ui_main_mypage_vip_tier_comment,,,You are a premium member.,,회원님은 유료회원 입니다.,
ui_main_mypage_vip_tier_view,,,Check remaining period.,,남은 기간 확인하기.,
ui_main_mypage_settings,,,Settings,,설정,
ui_main_mypage_myInfo,,,My Information,,내 정보,
ui_main_mypage_edit,,,Edit,,수정,
ui_main_mypage_media,,,Sounds/Vibrations,,소리/진동,
ui_main_mypage_turnOff,,,Off,,끄기,
ui_main_mypage_turnOn,,,On,,켜기,
ui_main_mypage_delete_account_0,,,Delete account,,탈퇴하기,
ui_main_mypage_delete_account_1,,,Delete,,탈퇴,
ui_main_mypage_logout,,,Sign out,,로그아웃,
ui_main_mypage_exit,,,Exit,,종료하기,
ui_main_mypage_homepage,,,HomePage,,홈페이지,
ui_main_mypage_term,,,Terms of Use,,이용약관,
ui_main_mypage_policy,,,Privacy Policy,,개인정보취급방침,
ui_main_change_myInfo_type_0,,,Edit information,,내 정보 변경하기,
ui_main_change_password,,,Change your password,,비밀번호 변경하기,
ui_main_change_term,,,Change your consent of the terms,,정보제공동의 변경하기,
ui_main_change_title,,,<b><size=52>{textLabel.userName}</size></b>'s \n Information,,<b><size=80>{textLabel.userName}</size></b>님 기본정보,
ui_main_email_empty,,,No registered information,,등록된 정보 없음,
ui_main_change_myInfo_type_1,,,Edit information,,내 정보 수정,
ui_main_change_myinfo_save,,,Save,,저장하기,
ui_main_change_myinfo_id,,,ID,,아이디,
ui_main_change_myinfo_name,,,Name,,이름,
ui_main_change_myinfo_nickname,,,NickName,,닉네임,
ui_main_change_myinfo_birth,,,Year of Birth,,출생년도,
ui_main_change_myinfo_gender,,,Gender,,성별,
ui_main_change_myinfo_education,,,Education,,최종학력,
ui_main_change_myinfo_mobile,,,Mobile,,휴대폰 번호,
ui_main_change_myinfo_email,,,E-mail,,이메일 주소,
ui_main_change_myinfo_help,,,* You will receive a report by email.,,* 종합인지보고서를 메일로받으실 수있습니다  ,
ui_main_change_myinfo_current_password,,,Current password,,현재 비밀번호,
ui_main_change_myinfo_new_password,,,New password,,새 비밀번호,
ui_main_change_myinfo_password_placehold,,,Confirm password,,비밀번호 확인,
ui_main_change_myinfo_password_confirm_placehold,,,Password,,비밀번호,
ui_main_change_myinfo_term_consent_provide_information,,,Consent of the terms,,정보제공동의,
ui_main_change_myinfo_term_agree_all,,,Agree to All,,전체동의,
ui_main_change_myinfo_term_agree_sms,,,Providing benefits and information via SMS,,SMS를 통한 혜택 및 정보 제공,
ui_main_change_myinfo_term_agree_notifications,,,Providing benefits and information via push notifications,,푸시 알림을 통한 혜택 및 정보 제공,
ui_main_change_myinfo_term_agree_email,,,Providing benefits and information via email,,이메일을 통한 혜택 및 정보 제공,
ui_main_change_myinfo_term_agree_help,,,"* If you have not registered your email, please update your email information in the account settings.",,* 이메일을 등록하지 않으셨다면 정보변경에서 이메일 정보를 갱신해주십시오.,
ui_main_point_title,,,My SmaCare Points,,나의 스마케어 포인트,
ui_main_point_help,,,Collect SmaCare Points to participate in various events.,,스마케어 포인트를 모아서 다양한 이벤트에 참여 하실 수 있습니다.,
ui_main_point_not_yet,,,Coming Soon :),,준비중 입니다 :),
ui_main_point_use,,,Use Points,,포인트 사용하기,
