Key,Id,Shared Comments,English (United States)(en-US),English (United States)(en-US) Comments,Korean (South Korea)(ko-KR),Korean (South Korea)(ko-KR) Comments
ui_account_logout,,,Do you want to log-out? ,,로그아웃 하시겠습니까?,
ui_purchase_no_available,,,Not available on current device. ,,현재 기기에서 이용할 수 없습니다.,
ui_information_education_level,,,"Unknown, elementary school or lower, elementary school graduate, middle school dropout, middle school graduate, high school dropout, high school graduate, junior college dropout, junior college graduate, college dropout, college graduate, graduate school or higher",,"모름, 초등학교 이하, 초등학교 졸업, 중학교 중퇴, 중학교 졸업, 고등학교 중퇴, 고등학교 졸업, 전문대학교 중퇴, 전문대학교 졸업, 대학교 중퇴, 대학교 졸업, 대학원 이상",
ui_network_checked,,,Please check your wifi connection,,인터넷 상태를 확인해주세요,
ui_progress_choices,,,"Next, Previous",,"다 음, 이 전",
ui_confirm_choices,,,"OK, Cancel",,"확 인, 취 소",
ui_agreement_choices,,,"Yes, No",,"예, 아니오",
ui_information_changed,,,You have completed registration with the changed information. ,,변경하신 정보로 등록 완료되었습니다,
ui_information_nickname_changed_failed,,,Please check that your nickname.,,닉네임을 확인해주세요.,
ui_information_email_changed_failed,,,"Please check that your email format is correct, some of the email address is missing. ",,"이메일 주소 형식이 맞는지 확인해주세요, 이메일 주소가 일부 누락되었습니다.",
ui_information_rechecked,,,Please check what you have entered is correct. ,,입력하신 사항을 다시 확인해 주십시오.,
ui_gender,,,"Gender, male, female",,"성별, 남성, 여성",
suffix_information_user_checked,,,Are you {0}?,,{0}님이 맞으신가요?,
suffix_information_user_birth_year,,,Born year {0},,{0}년생,
ui_register_history_exists,,,"You have already registered, there is already an existing nickname. ",,"이미 가입된 이력이 있습니다, 이미 존재하는 닉네임이 있습니다.",
ui_request_feedback,,,Please contact the administrator. ,,관리자에게 문의하세요.,
ui_register_faults,,,"Failed to register for the service, failed to register for the authentication server. ",,"해당 서비스 가입에 실패하였습니다, 해당 인증서버 가입에 실패하였습니다.",
ui_signin_failed,,,Failed to log-in. ,,로그인에 실패하였습니다.,
ui_signin_account_rechecked,,,"Please check your ID and password, and try again. ",,아이디와 비밀번호를 다시 확인하고 시도해주세요.,
ui_information_user_not_found,,,Unable to find user {0},,사용자 {0}를 찾을 수 없습니다.,
ui_auth_results,,,"Verification was successful, Verification failed, Please try again. ",,"인증을 성공 했습니다, 인증에 실패 했습니다. 다시 시도 해주세요.",
ui_account_delete,,,Withdrawal has been completed. ,,탈퇴가 완료되었습니다.,
ui_play_auto_repeated_description,,,"Repeat the same level automatically. If you activate this button, the game will automatically repeat at the difficulty level you were just playing. You can quit the game at any time.",,동일 난이도 자동 반복. 이 버튼을 활성화하면 방금 진행하였던 게임 난이도로 게임이 자동으로 반복됩니다. 게임을 그만두고 싶을 땐 언제든지 종료할 수 있습니다.,
